%time,field.header.seq,field.header.stamp,field.header.frame_id,field.values0,field.values1,field.values2,field.values3,field.values4,field.values5,field.values6
1735734363649800960,444,1735734363,,0.02332099713385105,-0.08530683815479279,0.6587306261062622,0.959959864616394,0.01660524681210518,0.00830262340605259,-0.2795216739177704
1735734363655347968,445,1735734363,,0.02326175943017006,-0.08845280110836029,0.6579924821853638,0.957558274269104,0.013837706297636032,0.006918853148818016,-0.28782427310943604
1735734363667540992,446,1735734363,,0.023208096623420715,-0.09163179993629456,0.6572763323783875,0.9546382427215576,0.01107016485184431,0.005535082425922155,-0.29751068353652954
1735734363677552896,447,1735734363,,0.023159774020314217,-0.09483826160430908,0.6565779447555542,0.9520462155342102,0.00830262340605259,0.004151311703026295,-0.3058133125305176
1735734363685695744,448,1735734363,,0.023115286603569984,-0.09806646406650543,0.6558994054794312,0.9493675231933594,0.005535082425922155,0.0013837706064805388,-0.3141159117221832
1735734363696210944,449,1735734363,,0.023071972653269768,-0.10130991041660309,0.6552389860153198,0.9461197257041931,0.0027675412129610777,-0.0013837706064805388,-0.32380232214927673
1735734363707023104,450,1735734363,,0.02302635833621025,-0.10456117987632751,0.654597282409668,0.9432252049446106,-0.0013837706064805388,-0.005535082425922155,-0.33210495114326477
1735734363717594112,451,1735734363,,0.022974273189902306,-0.10781221836805344,0.6539720296859741,0.9402321577072144,-0.004151311703026295,-0.00830262340605259,-0.3404075801372528
1735734363725037824,452,1735734363,,0.022910932078957558,-0.11105448007583618,0.6533601880073547,0.9371223449707031,-0.006918853148818016,-0.012453935109078884,-0.34871017932891846
1735734363736937984,453,1735734363,,0.022831127047538757,-0.11427899450063705,0.6527631878852844,0.9338606595993042,-0.01107016485184431,-0.017989017069339752,-0.3570128083229065
1735734363749159168,454,1735734363,,0.022729448974132538,-0.11747650057077408,0.6521804332733154,0.9310596585273743,-0.013837706297636032,-0.02214032970368862,-0.36393168568611145
1735734363756348928,455,1735734363,,0.022600306198000908,-0.12063740938901901,0.6516148447990417,0.9276177287101746,-0.01660524681210518,-0.02629164233803749,-0.3722342848777771
1735734363765721856,456,1735734363,,0.022438503801822662,-0.12375257164239883,0.6510653495788574,0.9241060614585876,-0.019372789189219475,-0.029059182852506638,-0.38053691387176514
1735734363775943936,457,1735734363,,0.02223947085440159,-0.12681396305561066,0.6505300998687744,0.9210560321807861,-0.020756559446454048,-0.03321049362421036,-0.3874557614326477
1735734363786840576,458,1735734363,,0.021998761221766472,-0.12981435656547546,0.6500126719474792,0.917382538318634,-0.02214032970368862,-0.035978034138679504,-0.39575836062431335
1735734363797079040,459,1735734363,,0.02171231433749199,-0.13274849951267242,0.6495133638381958,0.9136428236961365,-0.02214032970368862,-0.03874557837843895,-0.4040610194206238
1735734363807443968,460,1735734363,,0.02137630432844162,-0.13561300933361053,0.6490322947502136,0.9105242490768433,-0.020756559446454048,-0.040129344910383224,-0.41097986698150635
1735734363816112896,461,1735734363,,0.020987337455153465,-0.1384061872959137,0.6485684514045715,0.9066992402076721,-0.019372789189219475,-0.041513118892908096,-0.4192824959754944
1735734363825917440,462,1735734363,,0.02054246887564659,-0.14112788438796997,0.6481194496154785,0.9027774930000305,-0.017989017069339752,-0.04289688542485237,-0.42758509516716003
1735734363836312832,463,1735734363,,0.020039252936840057,-0.14377933740615845,0.647681713104248,0.8994945287704468,-0.01660524681210518,-0.04289688542485237,-0.434503972530365
1735734363848205312,464,1735734363,,0.019476016983389854,-0.14636321365833282,0.6472480297088623,0.8954834938049316,-0.013837706297636032,-0.04289688542485237,-0.442806601524353
1735734363855286784,465,1735734363,,0.018851926550269127,-0.1488833874464035,0.6468091607093811,0.8914340138435364,-0.01107016485184431,-0.041513118892908096,-0.4511092007160187
1735734363866987776,466,1735734363,,0.01816614717245102,-0.1513439416885376,0.6463679075241089,0.8872775435447693,-0.00830262340605259,-0.040129344910383224,-0.4594118297100067
1735734363876966144,467,1735734363,,0.01741771027445793,-0.15374957025051117,0.6459313035011292,0.8836824893951416,-0.005535082425922155,-0.040129344910383224,-0.4663306772708893
1735734363887111680,468,1735734363,,0.016605336219072342,-0.15610536932945251,0.6455056071281433,0.8793260455131531,-0.0027675412129610777,-0.03874557837843895,-0.4746333360671997
1735734363897393408,469,1735734363,,0.015727514401078224,-0.15841640532016754,0.6450967192649841,0.8755605816841125,0.0,-0.03874557837843895,-0.4815521538257599
1735734363905601536,470,1735734363,,0.014684688299894333,-0.16091296076774597,0.6446635723114014,0.8709327578544617,0.004151311703026295,-0.03874557837843895,-0.4898547828197479
1735734363915838976,471,1735734363,,0.01366508100181818,-0.16314610838890076,0.6442786455154419,0.8662028312683105,0.005535082425922155,-0.03874557837843895,-0.49815741181373596
1735734363925382144,472,1735734363,,0.012575224973261356,-0.16534893214702606,0.6439034342765808,0.8622256517410278,0.00830262340605259,-0.03736180439591408,-0.5050762295722961
1735734363935464960,473,1735734363,,0.011413080617785454,-0.1675245314836502,0.6435427069664001,0.8572936654090881,0.009686394594609737,-0.03736180439591408,-0.5133788585662842
1735734363951959296,474,1735734363,,0.010177782736718655,-0.16967515647411346,0.6431918740272522,0.8531122803688049,0.009686394594609737,-0.03736180439591408,-0.5202977061271667
1735734363957160960,475,1735734363,,0.00886887963861227,-0.17180205881595612,0.6428478360176086,0.8488538861274719,0.009686394594609737,-0.03736180439591408,-0.5272166132926941
